MachineName,Feature,Type,Parent,MachineManagerFqdn
MicrosoftDRAppliance,NET-Framework-45-ASPNET,Feature,NET-Framework-45-Features,172.26.27.202
MicrosoftDRAppliance,NET-WCF-Services45,Feature,NET-Framework-45-Features,172.26.27.202
MicrosoftDRAppliance,NET-WCF-TCP-PortSharing45,Feature,NET-WCF-Services45,172.26.27.202
MicrosoftDRAppliance,FS-SMB1,Feature,,172.26.27.202
MicrosoftDRAppliance,Windows-Defender-Features,Feature,,172.26.27.202
MicrosoftDRAppliance,Windows-Defender,Feature,Windows-Defender-Features,172.26.27.202
MicrosoftDRAppliance,Windows-Defender-Gui,Feature,Windows-Defender-Features,172.26.27.202
MicrosoftDRAppliance,PowerShellRoot,Feature,,172.26.27.202
MicrosoftDRAppliance,PowerShell,Feature,PowerShellRoot,172.26.27.202
MicrosoftDRAppliance,PowerShell-ISE,Feature,PowerShellRoot,172.26.27.202
MicrosoftDRAppliance,WAS,Feature,,172.26.27.202
MicrosoftDRAppliance,WAS-Process-Model,Feature,WAS,172.26.27.202
MicrosoftDRAppliance,WAS-Config-APIs,Feature,WAS,172.26.27.202
MicrosoftDRAppliance,WoW64-Support,Feature,,172.26.27.202
Windows 2019 server,FileAndStorage-Services,Role,,172.26.27.202
Windows 2019 server,Storage-Services,Role Service,FileAndStorage-Services,172.26.27.202
Windows 2019 server,NET-Framework-45-Features,Feature,,172.26.27.202
Windows 2019 server,NET-Framework-45-Core,Feature,NET-Framework-45-Features,172.26.27.202
Windows 2019 server,NET-WCF-Services45,Feature,NET-Framework-45-Features,172.26.27.202
Windows 2019 server,NET-WCF-TCP-PortSharing45,Feature,NET-WCF-Services45,172.26.27.202
Windows 2019 server,System-DataArchiver,Feature,,172.26.27.202
Windows 2019 server,Windows-Defender,Feature,,172.26.27.202
Windows 2019 server,PowerShellRoot,Feature,,172.26.27.202
Windows 2019 server,PowerShell,Feature,PowerShellRoot,172.26.27.202
Windows 2019 server,PowerShell-ISE,Feature,PowerShellRoot,172.26.27.202
Windows 2019 server,WoW64-Support,Feature,,172.26.27.202
Windows 2019 server,XPS-Viewer,Feature,,172.26.27.202
